,date,so2,nox,rspm,spm,co2,aqi,location
0,2007-06-19,6,46,49,0,0,58,Karve Road
1,2007-06-20,6,43,29,0,0,54,Karve Road
2,2007-06-21,5,43,26,0,0,54,Karve Road
3,2007-06-23,7,46,79,0,0,79,Karve Road
4,2007-06-24,5,45,19,0,0,56,Karve Road
5,2007-06-25,6,45,42,0,0,56,Karve Road
6,2007-06-26,4,43,64,0,0,64,Karve Road
7,2007-06-27,4,43,53,0,0,54,Karve Road
8,2007-06-28,4,44,47,0,0,55,Karve Road
9,2007-06-30,4,46,27,0,0,58,Karve Road
10,2007-07-02,4,43,44,0,0,54,Karve Road
11,2007-07-03,4,47,62,0,0,62,Karve Road
12,2007-07-04,4,46,62,0,0,62,Karve Road
13,2007-07-05,4,43,55,0,0,55,Karve Road
14,2007-07-06,4,18,84,0,0,84,Karve Road
15,2007-07-07,4,20,79,0,0,79,Karve Road
16,2007-07-08,4,19,63,0,0,63,Karve Road
17,2007-07-10,4,22,73,0,0,73,Karve Road
18,2007-07-11,4,23,67,0,0,67,Karve Road
19,2007-07-12,4,24,66,0,0,66,Karve Road
20,2007-07-13,4,24,53,0,0,53,Karve Road
21,2007-07-14,4,27,58,0,0,58,Karve Road
22,2007-07-15,3,21,65,0,0,65,Karve Road
23,2007-07-16,4,22,78,0,0,78,Karve Road
24,2007-07-17,4,22,65,0,0,65,Karve Road
25,2007-07-18,4,26,58,0,0,58,Karve Road
26,2007-07-19,3,18,84,0,0,84,Karve Road
27,2007-07-20,3,21,65,0,0,65,Karve Road
28,2007-07-21,34,46,69,0,0,69,Karve Road
29,2007-07-22,3,46,73,0,0,73,Karve Road
30,2007-07-23,4,20,78,0,0,78,Karve Road
31,2007-07-24,5,43,57,0,0,57,Karve Road
32,2007-07-25,5,46,58,0,0,58,Karve Road
33,2007-07-26,5,43,45,0,0,54,Karve Road
34,2007-07-27,5,43,31,0,0,54,Karve Road
35,2007-07-28,5,24,31,0,0,31,Karve Road
36,2007-07-29,5,32,35,0,0,40,Karve Road
37,2007-07-30,5,30,44,0,0,44,Karve Road
38,2007-07-31,3,45,56,0,0,56,Karve Road
39,2007-08-01,5,33,38,0,0,41,Karve Road
40,2007-08-02,5,29,36,0,0,36,Karve Road
41,2007-08-03,5,32,28,0,0,40,Karve Road
42,2007-08-04,3,42,27,0,0,53,Karve Road
43,2007-08-05,3,33,33,0,0,41,Karve Road
44,2007-08-06,3,28,39,0,0,39,Karve Road
45,2007-08-07,9,56,31,0,0,70,Karve Road
46,2007-08-08,4,42,28,0,0,53,Karve Road
47,2007-08-09,5,43,57,0,0,57,Karve Road
48,2007-08-10,3,33,48,0,0,48,Karve Road
49,2007-08-11,2,33,40,0,0,41,Karve Road
50,2007-08-12,2,28,36,0,0,36,Karve Road
51,2007-08-13,5,33,36,0,0,41,Karve Road
52,2007-08-14,22,44,46,0,0,55,Karve Road
53,2007-08-15,21,31,43,0,0,43,Karve Road
54,2007-08-16,21,30,43,0,0,43,Karve Road
55,2007-08-17,22,37,56,0,0,56,Karve Road
56,2007-08-18,22,33,50,0,0,50,Karve Road
57,2007-08-19,20,56,35,0,0,70,Karve Road
58,2007-08-20,3,33,33,0,0,41,Karve Road
59,2007-08-21,3,21,65,0,0,65,Karve Road
60,2007-08-22,5,43,57,0,0,57,Karve Road
61,2007-08-23,5,30,44,0,0,44,Karve Road
62,2007-08-24,4,46,69,0,0,69,Karve Road
63,2007-08-25,21,32,45,0,0,45,Karve Road
64,2007-08-26,4,42,28,0,0,53,Karve Road
65,2007-08-27,3,34,42,0,0,43,Karve Road
66,2007-08-28,21,26,38,0,0,38,Karve Road
67,2007-08-29,21,34,31,0,0,43,Karve Road
68,2007-08-30,3,28,41,0,0,41,Karve Road
69,2007-08-31,3,45,56,0,0,56,Karve Road
70,2007-09-01,5,46,58,0,0,58,Karve Road
71,2007-09-02,5,30,44,0,0,44,Karve Road
72,2007-09-03,20,56,39,0,0,70,Karve Road
73,2007-09-04,21,27,49,0,0,49,Karve Road
74,2007-09-05,21,38,35,0,0,48,Karve Road
75,2007-09-06,5,30,44,0,0,44,Karve Road
76,2007-09-07,21,26,41,0,0,41,Karve Road
77,2007-09-08,21,32,45,0,0,45,Karve Road
78,2007-09-09,3,28,41,0,0,41,Karve Road
79,2007-09-10,21,32,30,0,0,40,Karve Road
80,2007-09-11,22,48,90,0,0,90,Karve Road
81,2007-09-12,22,41,93,0,0,93,Karve Road
82,2007-09-13,22,40,73,0,0,73,Karve Road
83,2007-09-14,22,35,62,0,0,62,Karve Road
84,2007-09-15,22,33,50,0,0,50,Karve Road
85,2007-09-16,21,30,44,0,0,44,Karve Road
86,2007-09-17,21,50,74,0,0,74,Karve Road
87,2007-09-18,5,33,36,0,0,41,Karve Road
88,2007-09-19,3,34,42,0,0,43,Karve Road
89,2007-09-20,21,32,45,0,0,45,Karve Road
90,2007-09-21,5,24,31,0,0,31,Karve Road
91,2007-09-22,3,28,36,0,0,36,Karve Road
92,2007-09-23,20,56,35,0,0,70,Karve Road
93,2007-09-24,3,33,36,0,0,41,Karve Road
94,2007-09-25,3,28,38,0,0,38,Karve Road
95,2007-09-26,3,38,44,0,0,48,Karve Road
96,2007-10-09,21,31,43,0,0,43,Karve Road
97,2007-10-11,22,40,73,0,0,73,Karve Road
98,2007-10-12,5,43,57,0,0,57,Karve Road
99,2007-10-13,3,28,39,0,0,39,Karve Road
100,2007-10-14,3,42,33,0,0,53,Karve Road
101,2007-10-15,5,30,44,0,0,44,Karve Road
102,2007-10-16,22,41,93,0,0,93,Karve Road
103,2007-10-17,21,30,44,0,0,44,Karve Road
104,2007-10-18,23,46,86,0,0,86,Karve Road
105,2007-10-19,31,63,68,0,0,79,Karve Road
106,2007-10-20,29,60,63,0,0,75,Karve Road
107,2007-10-21,36,67,59,0,0,84,Karve Road
108,2007-10-22,21,32,30,0,0,40,Karve Road
109,2007-10-23,21,26,41,0,0,41,Karve Road
110,2007-10-24,22,33,50,0,0,50,Karve Road
111,2007-10-25,3,28,41,0,0,41,Karve Road
112,2007-10-26,21,45,56,0,0,56,Karve Road
113,2007-10-27,28,24,51,0,0,51,Karve Road
114,2007-10-28,26,22,64,0,0,64,Karve Road
115,2007-10-29,20,32,58,0,0,58,Karve Road
116,2007-10-30,14,23,67,0,0,67,Karve Road
117,2007-10-31,5,46,57,0,0,58,Karve Road
118,2007-11-01,22,30,69,0,0,69,Karve Road
119,2007-11-02,24,28,64,0,0,64,Karve Road
120,2007-11-03,21,32,45,0,0,45,Karve Road
121,2007-11-04,16,36,54,0,0,54,Karve Road
122,2007-11-05,4,44,42,0,0,55,Karve Road
123,2007-11-06,4,22,65,0,0,65,Karve Road
124,2007-11-07,5,46,70,0,0,70,Karve Road
125,2007-11-08,21,76,0,0,0,95,Karve Road
126,2007-11-09,30,38,0,0,0,48,Karve Road
127,2007-11-10,38,40,0,0,0,0,Karve Road
128,2007-11-11,43,55,0,0,0,69,Karve Road
129,2007-11-12,21,31,53,0,0,53,Karve Road
130,2007-11-13,22,50,97,0,0,97,Karve Road
131,2007-11-14,4,36,62,0,0,62,Karve Road
132,2007-11-15,4,33,75,0,0,75,Karve Road
133,2007-11-16,5,32,28,0,0,40,Karve Road
134,2007-11-17,21,32,45,0,0,45,Karve Road
135,2007-11-18,8,40,62,0,0,62,Karve Road
136,2007-11-19,21,38,35,0,0,48,Karve Road
137,2007-11-20,21,26,41,0,0,41,Karve Road
138,2007-11-21,22,40,73,0,0,73,Karve Road
139,2007-11-22,22,48,65,0,0,65,Karve Road
140,2007-11-23,4,22,65,0,0,65,Karve Road
141,2007-11-24,3,42,33,0,0,53,Karve Road
142,2007-11-25,21,32,45,0,0,45,Karve Road
143,2007-11-26,4,43,41,0,0,54,Karve Road
144,2007-11-27,20,32,58,0,0,58,Karve Road
145,2007-11-28,31,56,68,0,0,70,Karve Road
146,2007-11-29,29,60,75,0,0,75,Karve Road
147,2007-11-30,4,22,73,0,0,73,Karve Road
148,2007-12-01,4,49,47,0,0,61,Karve Road
