,date,so2,nox,rspm,spm,co2,aqi,location
0,2006-01-03,27,50,136,0,0,124,Nal Stop
1,2006-01-04,29,48,182,0,0,155,Nal Stop
2,2006-01-06,24,51,160,0,0,140,Nal Stop
3,2006-01-10,26,52,184,0,0,156,Nal Stop
4,2006-01-13,24,45,150,0,0,133,Nal Stop
5,2006-01-17,31,59,163,0,0,142,Nal Stop
6,2006-01-20,27,53,157,0,0,138,Nal Stop
7,2006-01-24,29,50,156,0,0,137,Nal Stop
8,2006-01-27,24,40,150,0,0,133,Nal Stop
9,2006-01-31,21,34,141,0,0,127,Nal Stop
10,2006-02-03,26,41,156,0,0,137,Nal Stop
11,2006-02-06,29,50,172,0,0,148,Nal Stop
12,2006-02-07,26,44,170,0,0,147,Nal Stop
13,2006-02-10,24,40,143,0,0,129,Nal Stop
14,2006-02-13,21,34,135,0,0,123,Nal Stop
15,2006-02-14,24,40,148,0,0,132,Nal Stop
16,2006-02-17,24,39,156,0,0,137,Nal Stop
17,2006-02-21,27,42,144,0,0,129,Nal Stop
18,2006-02-24,29,40,148,0,0,132,Nal Stop
19,2006-03-03,28,48,156,0,0,137,Nal Stop
20,2006-03-07,24,42,172,0,0,148,Nal Stop
21,2006-03-10,28,47,170,0,0,147,Nal Stop
22,2006-03-14,25,45,143,0,0,129,Nal Stop
23,2006-03-17,23,35,135,0,0,123,Nal Stop
24,2006-03-21,26,38,148,0,0,132,Nal Stop
25,2006-03-24,30,49,156,0,0,137,Nal Stop
26,2006-03-28,28,45,144,0,0,129,Nal Stop
27,2006-03-31,33,38,148,0,0,132,Nal Stop
28,2006-04-04,29,44,130,0,0,120,Nal Stop
29,2006-04-07,27,41,156,0,0,137,Nal Stop
30,2006-04-11,24,33,132,0,0,121,Nal Stop
31,2006-04-14,25,40,172,0,0,148,Nal Stop
32,2006-04-18,31,37,153,0,0,135,Nal Stop
33,2006-04-21,30,42,147,0,0,131,Nal Stop
34,2006-04-25,33,40,138,0,0,125,Nal Stop
35,2006-04-28,32,42,131,0,0,121,Nal Stop
36,2006-05-02,30,44,33,0,0,55,Nal Stop
37,2006-05-05,29,43,143,0,0,129,Nal Stop
38,2006-05-09,29,41,156,0,0,137,Nal Stop
39,2006-05-12,30,42,140,0,0,127,Nal Stop
40,2006-05-16,32,44,138,0,0,125,Nal Stop
41,2006-05-23,32,44,156,0,0,137,Nal Stop
42,2006-05-26,29,40,140,0,0,127,Nal Stop
43,2006-05-30,28,36,119,0,0,113,Nal Stop
44,2006-06-02,26,37,107,0,0,105,Nal Stop
45,2006-06-06,29,36,144,0,0,129,Nal Stop
46,2006-06-13,29,44,126,0,0,117,Nal Stop
47,2006-06-16,32,41,131,0,0,121,Nal Stop
48,2006-07-04,11,39,120,0,0,113,Nal Stop
49,2006-07-07,21,47,126,0,0,117,Nal Stop
50,2006-07-11,17,37,144,0,0,129,Nal Stop
51,2006-07-14,27,40,106,0,0,104,Nal Stop
52,2006-07-18,23,41,117,0,0,111,Nal Stop
