,date,so2,nox,rspm,spm,co2,aqi,location
0,2006-01-01,33,54,142,0,0,128,Pimpri Chinchwad
1,2006-01-02,35,61,140,0,0,127,Pimpri Chinchwad
2,2006-01-03,31,53,156,0,0,137,Pimpri Chinchwad
3,2006-01-04,28,56,166,0,0,144,Pimpri Chinchwad
4,2006-01-05,23,47,148,0,0,132,Pimpri Chinchwad
5,2006-01-06,26,51,155,0,0,137,Pimpri Chinchwad
6,2006-01-07,0,0,0,0,0,0,Pimpri Chinchwad
7,2006-01-08,23,49,153,0,0,135,Pimpri Chinchwad
8,2006-01-09,26,42,132,0,0,121,Pimpri Chinchwad
9,2006-01-10,0,0,0,0,0,0,Pimpri Chinchwad
10,2006-01-11,21,44,134,0,0,123,Pimpri Chinchwad
11,2006-01-12,25,42,129,0,0,119,Pimpri Chinchwad
12,2006-01-13,0,0,0,0,0,0,Pimpri Chinchwad
13,2006-01-14,0,0,0,0,0,0,Pimpri Chinchwad
14,2006-01-15,25,42,128,0,0,119,Pimpri Chinchwad
15,2006-01-16,2,40,137,0,0,125,Pimpri Chinchwad
16,2006-01-17,26,43,143,0,0,129,Pimpri Chinchwad
17,2006-01-18,26,43,143,0,0,129,Pimpri Chinchwad
18,2006-01-19,14,25,80,0,0,80,Pimpri Chinchwad
19,2006-01-20,26,45,146,0,0,131,Pimpri Chinchwad
20,2006-01-22,31,49,153,0,0,135,Pimpri Chinchwad
21,2006-01-23,27,45,146,0,0,131,Pimpri Chinchwad
22,2006-01-24,32,51,141,0,0,127,Pimpri Chinchwad
23,2006-01-26,27,45,144,0,0,129,Pimpri Chinchwad
24,2006-01-29,26,41,152,0,0,135,Pimpri Chinchwad
25,2006-01-30,29,45,161,0,0,141,Pimpri Chinchwad
26,2006-02-01,22,38,149,0,0,133,Pimpri Chinchwad
27,2006-02-02,27,41,155,0,0,137,Pimpri Chinchwad
28,2006-02-03,21,33,132,0,0,121,Pimpri Chinchwad
29,2006-02-05,27,39,154,0,0,136,Pimpri Chinchwad
30,2006-02-06,24,30,143,0,0,129,Pimpri Chinchwad
31,2006-02-07,27,42,148,0,0,132,Pimpri Chinchwad
32,2006-02-08,30,48,153,0,0,135,Pimpri Chinchwad
33,2006-02-09,26,41,164,0,0,143,Pimpri Chinchwad
34,2006-02-12,26,47,163,0,0,142,Pimpri Chinchwad
35,2006-02-13,27,48,165,0,0,143,Pimpri Chinchwad
36,2006-02-14,29,49,192,0,0,161,Pimpri Chinchwad
37,2006-02-15,25,49,167,0,0,145,Pimpri Chinchwad
38,2006-02-16,30,52,143,0,0,129,Pimpri Chinchwad
