,date,so2,nox,rspm,spm,co2,aqi,location
0,2015-01-01,15,58,155,0,0,137,Pimpri
1,2015-01-02,19,45,121,0,0,114,Pimpri
2,2015-01-03,20,53,152,0,0,135,Pimpri
3,2015-01-05,18,46,154,0,0,136,Pimpri
4,2015-01-06,22,63,145,0,0,130,Pimpri
5,2015-01-07,28,69,138,0,0,125,Pimpri
6,2015-01-08,31,78,161,0,0,141,Pimpri
7,2015-01-09,30,53,158,0,0,139,Pimpri
8,2015-01-10,32,105,193,0,0,162,Pimpri
9,2015-01-12,29,88,228,0,0,185,Pimpri
10,2015-01-13,33,122,169,0,0,146,Pimpri
11,2015-01-14,28,101,186,0,0,157,Pimpri
12,2015-01-15,28,77,188,0,0,159,Pimpri
13,2015-01-16,27,123,249,0,0,199,Pimpri
14,2015-01-17,36,135,186,0,0,157,Pimpri
15,2015-01-19,53,78,163,0,0,142,Pimpri
16,2015-01-20,32,110,116,0,0,130,Pimpri
17,2015-01-21,26,121,103,0,0,141,Pimpri
18,2015-01-22,33,80,105,0,0,103,Pimpri
19,2015-01-23,30,104,75,0,0,124,Pimpri
20,2015-01-24,46,91,92,0,0,111,Pimpri
21,2015-01-27,41,71,137,0,0,125,Pimpri
22,2015-01-28,16,155,113,0,0,175,Pimpri
23,2015-01-29,14,72,99,0,0,99,Pimpri
24,2015-01-30,22,85,129,0,0,119,Pimpri
25,2015-01-31,21,101,151,0,0,134,Pimpri
26,2015-02-02,18,118,149,0,0,138,Pimpri
27,2015-02-03,29,63,157,0,0,138,Pimpri
28,2015-02-04,21,112,148,0,0,132,Pimpri
29,2015-02-05,38,77,151,0,0,134,Pimpri
30,2015-02-06,56,67,152,0,0,135,Pimpri
31,2015-02-07,23,65,187,0,0,158,Pimpri
32,2015-02-10,23,45,117,0,0,111,Pimpri
33,2015-02-11,50,87,115,0,0,110,Pimpri
34,2015-02-12,25,61,104,0,0,103,Pimpri
35,2015-02-13,44,69,131,0,0,121,Pimpri
36,2015-02-14,24,37,132,0,0,121,Pimpri
37,2015-02-15,45,123,178,0,0,152,Pimpri
38,2015-02-17,18,71,244,0,0,196,Pimpri
39,2015-02-18,37,68,136,0,0,124,Pimpri
40,2015-02-19,50,63,123,0,0,115,Pimpri
41,2015-02-20,28,46,137,0,0,125,Pimpri
42,2015-02-21,23,46,152,0,0,135,Pimpri
43,2015-02-22,21,57,157,0,0,138,Pimpri
44,2015-12-24,44,63,148,0,0,132,Pimpri
45,2015-12-25,63,60,168,0,0,145,Pimpri
46,2015-12-26,62,65,223,0,0,182,Pimpri
47,2015-12-28,82,78,196,0,0,164,Pimpri
48,2015-12-29,84,77,234,0,0,189,Pimpri
49,2015-12-30,55,86,211,0,0,174,Pimpri
50,2015-12-31,50,98,202,0,0,168,Pimpri
51,2016-01-01,45,136,173,0,0,156,Pimpri
52,2016-01-02,33,129,169,0,0,149,Pimpri
53,2016-01-04,50,90,167,0,0,145,Pimpri
54,2016-01-05,52,102,194,0,0,163,Pimpri
55,2016-01-06,43,133,186,0,0,157,Pimpri
56,2016-01-07,39,77,206,0,0,171,Pimpri
57,2016-01-08,48,89,196,0,0,164,Pimpri
58,2016-01-09,37,116,167,0,0,145,Pimpri
59,2016-01-11,35,85,185,0,0,157,Pimpri
60,2016-01-12,23,70,169,0,0,146,Pimpri
61,2016-01-13,33,86,183,0,0,155,Pimpri
62,2016-01-14,39,85,161,0,0,141,Pimpri
63,2016-01-15,28,89,149,0,0,133,Pimpri
64,2016-01-16,22,68,83,0,0,85,Pimpri
65,2016-01-18,44,62,101,0,0,101,Pimpri
66,2016-01-19,43,60,101,0,0,101,Pimpri
67,2016-01-20,53,68,127,0,0,118,Pimpri
68,2016-01-21,28,45,106,0,0,104,Pimpri
69,2016-01-22,38,66,165,0,0,143,Pimpri
70,2016-01-25,33,81,143,0,0,129,Pimpri
71,2016-01-27,34,100,204,0,0,169,Pimpri
72,2016-01-28,38,94,173,0,0,149,Pimpri
73,2016-01-29,35,68,168,0,0,145,Pimpri
74,2016-01-30,14,48,143,0,0,129,Pimpri
