,date,so2,nox,rspm,spm,co2,aqi,location
0,2006-10-05,26,44,130,0,0,120,Swargate
1,2006-10-09,23,36,137,0,0,125,Swargate
2,2006-10-12,26,37,125,0,0,117,Swargate
3,2006-10-16,26,41,132,0,0,121,Swargate
4,2006-10-19,25,44,121,0,0,114,Swargate
5,2006-10-22,28,42,123,0,0,115,Swargate
6,2006-10-23,23,48,129,0,0,119,Swargate
7,2006-10-26,16,42,133,0,0,122,Swargate
8,2006-10-30,26,45,145,0,0,130,Swargate
9,2006-11-02,14,27,41,0,0,41,Swargate
10,2006-11-06,16,34,90,0,0,90,Swargate
11,2006-11-09,19,42,70,0,0,70,Swargate
12,2006-11-13,15,26,125,0,0,117,Swargate
13,2006-11-16,11,38,93,0,0,93,Swargate
14,2006-11-20,14,52,102,0,0,101,Swargate
15,2006-11-23,16,38,175,0,0,150,Swargate
16,2006-11-27,21,47,105,0,0,103,Swargate
17,2006-12-04,25,47,161,0,0,141,Swargate
18,2006-12-07,23,46,134,0,0,123,Swargate
19,2007-01-01,22,43,109,0,0,106,Swargate
20,2007-01-04,21,47,152,0,0,135,Swargate
21,2007-01-08,24,49,140,0,0,127,Swargate
22,2007-01-11,24,48,227,0,0,185,Swargate
23,2007-01-15,26,54,76,0,0,76,Swargate
24,2007-01-18,26,64,26,0,0,80,Swargate
25,2007-01-22,25,54,133,0,0,122,Swargate
26,2007-01-25,24,52,135,0,0,123,Swargate
27,2007-01-29,23,47,206,0,0,171,Swargate
28,2007-02-01,20,47,247,0,0,198,Swargate
29,2007-02-05,26,47,169,0,0,146,Swargate
30,2007-02-08,22,46,194,0,0,163,Swargate
31,2007-02-12,22,43,101,0,0,101,Swargate
32,2007-02-19,22,48,185,0,0,157,Swargate
33,2007-02-22,25,53,238,0,0,192,Swargate
34,2007-02-23,23,49,290,0,0,240,Swargate
35,2007-02-26,22,47,90,0,0,90,Swargate
36,2007-03-05,23,49,104,0,0,103,Swargate
37,2007-03-08,25,50,206,0,0,171,Swargate
38,2007-03-12,15,27,108,0,0,105,Swargate
39,2007-03-15,23,53,157,0,0,138,Swargate
40,2007-03-19,39,47,197,0,0,165,Swargate
41,2007-03-22,18,38,152,0,0,135,Swargate
42,2007-03-26,27,58,303,0,0,253,Swargate
43,2007-03-29,24,51,142,0,0,128,Swargate
44,2007-04-02,18,37,185,0,0,157,Swargate
45,2007-04-05,21,48,136,0,0,124,Swargate
46,2007-04-09,21,48,113,0,0,109,Swargate
47,2007-04-12,21,39,174,0,0,149,Swargate
48,2007-04-16,22,38,97,0,0,97,Swargate
49,2007-04-19,19,52,178,0,0,152,Swargate
50,2007-04-23,27,57,122,0,0,115,Swargate
51,2007-04-26,25,47,83,0,0,83,Swargate
52,2007-04-30,25,50,75,0,0,75,Swargate
53,2007-05-03,23,44,99,0,0,99,Swargate
54,2007-05-07,21,48,92,0,0,92,Swargate
55,2007-05-10,29,57,88,0,0,88,Swargate
56,2007-05-14,36,51,83,0,0,83,Swargate
57,2007-05-17,21,43,91,0,0,91,Swargate
58,2007-05-21,26,51,99,0,0,99,Swargate
59,2007-05-24,18,43,72,0,0,72,Swargate
60,2007-05-28,21,43,36,0,0,54,Swargate
61,2007-05-31,21,49,105,0,0,103,Swargate
62,2007-06-04,17,41,51,0,0,51,Swargate
63,2007-06-07,21,45,65,0,0,65,Swargate
64,2007-06-11,22,40,50,0,0,50,Swargate
65,2007-06-14,20,43,50,0,0,54,Swargate
66,2007-06-18,18,46,60,0,0,60,Swargate
67,2007-06-21,16,31,56,0,0,56,Swargate
68,2007-06-25,13,35,63,0,0,63,Swargate
69,2007-06-28,16,37,61,0,0,61,Swargate
70,2007-07-02,14,32,52,0,0,52,Swargate
71,2007-07-05,16,38,42,0,0,48,Swargate
72,2007-07-09,19,39,26,0,0,49,Swargate
73,2007-07-12,13,35,59,0,0,59,Swargate
74,2007-07-16,17,39,48,0,0,49,Swargate
75,2007-07-19,18,39,58,0,0,58,Swargate
76,2007-07-23,21,40,61,0,0,61,Swargate
77,2007-07-26,16,34,73,0,0,73,Swargate
78,2007-07-30,17,41,90,0,0,90,Swargate
79,2007-08-02,23,38,61,0,0,61,Swargate
80,2007-08-06,14,35,63,0,0,63,Swargate
81,2007-08-09,17,44,54,0,0,55,Swargate
82,2007-08-13,16,44,58,0,0,58,Swargate
83,2007-08-16,15,42,65,0,0,65,Swargate
84,2007-08-20,15,45,93,0,0,93,Swargate
85,2007-08-23,16,42,67,0,0,67,Swargate
86,2007-08-27,12,34,57,0,0,57,Swargate
87,2007-08-30,20,43,67,0,0,67,Swargate
88,2007-09-03,24,28,34,0,0,35,Swargate
89,2007-09-06,17,43,64,0,0,64,Swargate
90,2007-09-10,16,41,45,0,0,51,Swargate
91,2007-09-13,20,49,64,0,0,64,Swargate
92,2007-09-17,20,44,57,0,0,57,Swargate
93,2007-09-20,20,49,57,0,0,61,Swargate
94,2007-09-24,17,37,60,0,0,60,Swargate
95,2007-09-27,18,47,92,0,0,92,Swargate
96,2007-10-01,19,45,77,0,0,77,Swargate
97,2007-10-04,20,50,129,0,0,119,Swargate
98,2007-10-08,22,50,69,0,0,69,Swargate
99,2007-10-11,22,45,96,0,0,96,Swargate
100,2007-10-15,18,44,154,0,0,136,Swargate
101,2007-10-18,18,48,135,0,0,123,Swargate
102,2007-10-22,19,52,93,0,0,93,Swargate
103,2007-10-25,22,49,111,0,0,107,Swargate
104,2007-10-29,18,47,79,0,0,79,Swargate
105,2007-11-01,19,45,72,0,0,72,Swargate
106,2007-11-05,18,44,58,0,0,58,Swargate
107,2007-11-08,19,45,89,0,0,89,Swargate
108,2007-11-12,21,41,133,0,0,122,Swargate
109,2007-11-15,19,50,123,0,0,115,Swargate
110,2007-11-19,20,46,119,0,0,113,Swargate
111,2007-11-22,20,44,114,0,0,109,Swargate
112,2007-11-26,19,43,139,0,0,126,Swargate
113,2007-11-29,15,41,129,0,0,119,Swargate
114,2007-12-03,18,453,152,0,0,444,Swargate
115,2007-12-06,18,48,179,0,0,153,Swargate
116,2007-12-10,23,51,114,0,0,109,Swargate
117,2007-12-13,20,51,86,0,0,86,Swargate
118,2007-12-17,21,49,132,0,0,121,Swargate
119,2007-12-20,17,53,188,0,0,159,Swargate
120,2007-12-24,21,50,137,0,0,125,Swargate
121,2007-12-27,19,47,123,0,0,115,Swargate
