,date,so2,nox,rspm,spm,co2,aqi,location
0,19-06-2007,6,46,49,0,0,58,Karve Road
1,20-06-2007,6,43,29,0,0,54,Karve Road
2,21-06-2007,5,43,26,0,0,54,Karve Road
3,23-06-2007,7,46,79,0,0,79,Karve Road
4,24-06-2007,5,45,19,0,0,56,Karve Road
5,25-06-2007,6,45,42,0,0,56,Karve Road
6,26-06-2007,4,43,64,0,0,64,Karve Road
7,27-06-2007,4,43,53,0,0,54,Karve Road
8,28-06-2007,4,44,47,0,0,55,Karve Road
9,30-06-2007,4,46,27,0,0,58,Karve Road
10,2007-02-07 00:00:00,4,43,44,0,0,54,Karve Road
11,2007-03-07 00:00:00,4,47,62,0,0,62,Karve Road
12,2007-04-07 00:00:00,4,46,62,0,0,62,Karve Road
13,2007-05-07 00:00:00,4,43,55,0,0,55,Karve Road
14,2007-06-07 00:00:00,4,18,84,0,0,84,Karve Road
15,2007-07-07 00:00:00,4,20,79,0,0,79,Karve Road
16,2007-08-07 00:00:00,4,19,63,0,0,63,Karve Road
17,2007-10-07 00:00:00,4,22,73,0,0,73,Karve Road
18,2007-11-07 00:00:00,4,23,67,0,0,67,Karve Road
19,2007-12-07 00:00:00,4,24,66,0,0,66,Karve Road
20,13-07-2007,4,24,53,0,0,53,Karve Road
21,14-07-2007,4,27,58,0,0,58,Karve Road
22,15-07-2007,3,21,65,0,0,65,Karve Road
23,16-07-2007,4,22,78,0,0,78,Karve Road
24,17-07-2007,4,22,65,0,0,65,Karve Road
25,18-07-2007,4,26,58,0,0,58,Karve Road
26,19-07-2007,3,18,84,0,0,84,Karve Road
27,20-07-2007,3,21,65,0,0,65,Karve Road
28,21-07-2007,34,46,69,0,0,69,Karve Road
29,22-07-2007,3,46,73,0,0,73,Karve Road
30,23-07-2007,4,20,78,0,0,78,Karve Road
31,24-07-2007,5,43,57,0,0,57,Karve Road
32,25-07-2007,5,46,58,0,0,58,Karve Road
33,26-07-2007,5,43,45,0,0,54,Karve Road
34,27-07-2007,5,43,31,0,0,54,Karve Road
35,28-07-2007,5,24,31,0,0,31,Karve Road
36,29-07-2007,5,32,35,0,0,40,Karve Road
37,30-07-2007,5,30,44,0,0,44,Karve Road
38,31-07-2007,3,45,56,0,0,56,Karve Road
39,2007-01-08 00:00:00,5,33,38,0,0,41,Karve Road
40,2007-02-08 00:00:00,5,29,36,0,0,36,Karve Road
41,2007-03-08 00:00:00,5,32,28,0,0,40,Karve Road
42,2007-04-08 00:00:00,3,42,27,0,0,53,Karve Road
43,2007-05-08 00:00:00,3,33,33,0,0,41,Karve Road
44,2007-06-08 00:00:00,3,28,39,0,0,39,Karve Road
45,2007-07-08 00:00:00,9,56,31,0,0,70,Karve Road
46,2007-08-08 00:00:00,4,42,28,0,0,53,Karve Road
47,2007-09-08 00:00:00,5,43,57,0,0,57,Karve Road
48,2007-10-08 00:00:00,3,33,48,0,0,48,Karve Road
49,2007-11-08 00:00:00,2,33,40,0,0,41,Karve Road
50,2007-12-08 00:00:00,2,28,36,0,0,36,Karve Road
51,13-08-2007,5,33,36,0,0,41,Karve Road
52,14-08-2007,22,44,46,0,0,55,Karve Road
53,15-08-2007,21,31,43,0,0,43,Karve Road
54,16-08-2007,21,30,43,0,0,43,Karve Road
55,17-08-2007,22,37,56,0,0,56,Karve Road
56,18-08-2007,22,33,50,0,0,50,Karve Road
57,19-08-2007,20,56,35,0,0,70,Karve Road
58,20-08-2007,3,33,33,0,0,41,Karve Road
59,21-08-2007,3,21,65,0,0,65,Karve Road
60,22-08-2007,5,43,57,0,0,57,Karve Road
61,23-08-2007,5,30,44,0,0,44,Karve Road
62,24-08-2007,4,46,69,0,0,69,Karve Road
63,25-08-2007,21,32,45,0,0,45,Karve Road
64,26-08-2007,4,42,28,0,0,53,Karve Road
65,27-08-2007,3,34,42,0,0,43,Karve Road
66,28-08-2007,21,26,38,0,0,38,Karve Road
67,29-08-2007,21,34,31,0,0,43,Karve Road
68,30-08-2007,3,28,41,0,0,41,Karve Road
69,31-08-2007,3,45,56,0,0,56,Karve Road
70,2007-01-09 00:00:00,5,46,58,0,0,58,Karve Road
71,2007-02-09 00:00:00,5,30,44,0,0,44,Karve Road
72,2007-03-09 00:00:00,20,56,39,0,0,70,Karve Road
73,2007-04-09 00:00:00,21,27,49,0,0,49,Karve Road
74,2007-05-09 00:00:00,21,38,35,0,0,48,Karve Road
75,2007-06-09 00:00:00,5,30,44,0,0,44,Karve Road
76,2007-07-09 00:00:00,21,26,41,0,0,41,Karve Road
77,2007-08-09 00:00:00,21,32,45,0,0,45,Karve Road
78,2007-09-09 00:00:00,3,28,41,0,0,41,Karve Road
79,2007-10-09 00:00:00,21,32,30,0,0,40,Karve Road
80,2007-11-09 00:00:00,22,48,90,0,0,90,Karve Road
81,2007-12-09 00:00:00,22,41,93,0,0,93,Karve Road
82,13-09-2007,22,40,73,0,0,73,Karve Road
83,14-09-2007,22,35,62,0,0,62,Karve Road
84,15-09-2007,22,33,50,0,0,50,Karve Road
85,16-09-2007,21,30,44,0,0,44,Karve Road
86,17-09-2007,21,50,74,0,0,74,Karve Road
87,18-09-2007,5,33,36,0,0,41,Karve Road
88,19-09-2007,3,34,42,0,0,43,Karve Road
89,20-09-2007,21,32,45,0,0,45,Karve Road
90,21-09-2007,5,24,31,0,0,31,Karve Road
91,22-09-2007,3,28,36,0,0,36,Karve Road
92,23-09-2007,20,56,35,0,0,70,Karve Road
93,24-09-2007,3,33,36,0,0,41,Karve Road
94,25-09-2007,3,28,38,0,0,38,Karve Road
95,26-09-2007,3,38,44,0,0,48,Karve Road
96,2007-09-10 00:00:00,21,31,43,0,0,43,Karve Road
97,2007-11-10 00:00:00,22,40,73,0,0,73,Karve Road
98,2007-12-10 00:00:00,5,43,57,0,0,57,Karve Road
99,13-10-2007,3,28,39,0,0,39,Karve Road
100,14-10-2007,3,42,33,0,0,53,Karve Road
101,15-10-2007,5,30,44,0,0,44,Karve Road
102,16-10-2007,22,41,93,0,0,93,Karve Road
103,17-10-2007,21,30,44,0,0,44,Karve Road
104,18-10-2007,23,46,86,0,0,86,Karve Road
105,19-10-2007,31,63,68,0,0,79,Karve Road
106,20-10-2007,29,60,63,0,0,75,Karve Road
107,21-10-2007,36,67,59,0,0,84,Karve Road
108,22-10-2007,21,32,30,0,0,40,Karve Road
109,23-10-2007,21,26,41,0,0,41,Karve Road
110,24-10-2007,22,33,50,0,0,50,Karve Road
111,25-10-2007,3,28,41,0,0,41,Karve Road
112,26-10-2007,21,45,56,0,0,56,Karve Road
113,27-10-2007,28,24,51,0,0,51,Karve Road
114,28-10-2007,26,22,64,0,0,64,Karve Road
115,29-10-2007,20,32,58,0,0,58,Karve Road
116,30-10-2007,14,23,67,0,0,67,Karve Road
117,31-10-2007,5,46,57,0,0,58,Karve Road
118,2007-01-11 00:00:00,22,30,69,0,0,69,Karve Road
119,2007-02-11 00:00:00,24,28,64,0,0,64,Karve Road
120,2007-03-11 00:00:00,21,32,45,0,0,45,Karve Road
121,2007-04-11 00:00:00,16,36,54,0,0,54,Karve Road
122,2007-05-11 00:00:00,4,44,42,0,0,55,Karve Road
123,2007-06-11 00:00:00,4,22,65,0,0,65,Karve Road
124,2007-07-11 00:00:00,5,46,70,0,0,70,Karve Road
125,2007-08-11 00:00:00,21,76,0,0,0,95,Karve Road
126,2007-09-11 00:00:00,30,38,0,0,0,48,Karve Road
127,2007-10-11 00:00:00,38,40,0,0,0,0,Karve Road
128,2007-11-11 00:00:00,43,55,0,0,0,69,Karve Road
129,2007-12-11 00:00:00,21,31,53,0,0,53,Karve Road
130,13-11-2007,22,50,97,0,0,97,Karve Road
131,14-11-2007,4,36,62,0,0,62,Karve Road
132,15-11-2007,4,33,75,0,0,75,Karve Road
133,16-11-2007,5,32,28,0,0,40,Karve Road
134,17-11-2007,21,32,45,0,0,45,Karve Road
135,18-11-2007,8,40,62,0,0,62,Karve Road
136,19-11-2007,21,38,35,0,0,48,Karve Road
137,20-11-2007,21,26,41,0,0,41,Karve Road
138,21-11-2007,22,40,73,0,0,73,Karve Road
139,22-11-2007,22,48,65,0,0,65,Karve Road
140,23-11-2007,4,22,65,0,0,65,Karve Road
141,24-11-2007,3,42,33,0,0,53,Karve Road
142,25-11-2007,21,32,45,0,0,45,Karve Road
143,26-11-2007,4,43,41,0,0,54,Karve Road
144,27-11-2007,20,32,58,0,0,58,Karve Road
145,28-11-2007,31,56,68,0,0,70,Karve Road
146,29-11-2007,29,60,75,0,0,75,Karve Road
147,30-11-2007,4,22,73,0,0,73,Karve Road
148,2007-01-12 00:00:00,4,49,47,0,0,61,Karve Road
149,2007-02-12 00:00:00,3,45,56,0,0,56,Karve Road
150,2007-03-12 00:00:00,4,22,45,0,0,45,Karve Road
151,2007-04-12 00:00:00,3,32,33,0,0,40,Karve Road
152,2007-05-12 00:00:00,21,32,30,0,0,40,Karve Road
153,2007-06-12 00:00:00,5,33,50,0,0,50,Karve Road
154,2007-07-12 00:00:00,4,42,44,0,0,53,Karve Road
155,2007-08-12 00:00:00,22,40,73,0,0,73,Karve Road
156,2007-09-12 00:00:00,21,27,49,0,0,49,Karve Road
157,2007-10-12 00:00:00,4,43,53,0,0,54,Karve Road
158,2007-11-12 00:00:00,4,42,45,0,0,53,Karve Road
159,2007-12-12 00:00:00,21,33,47,0,0,47,Karve Road
160,13-12-2007,28,24,51,0,0,51,Karve Road
161,14-12-2007,4,27,58,0,0,58,Karve Road
162,15-12-2007,21,32,45,0,0,45,Karve Road
163,16-12-2007,21,26,38,0,0,38,Karve Road
164,17-12-2007,29,60,63,0,0,75,Karve Road
165,18-12-2007,4,46,27,0,0,58,Karve Road
166,19-12-2007,5,46,70,0,0,70,Karve Road
167,20-12-2007,3,28,57,0,0,57,Karve Road
168,21-12-2007,21,27,49,0,0,49,Karve Road
169,22-12-2007,4,23,67,0,0,67,Karve Road
170,23-12-2007,5,46,58,0,0,58,Karve Road
171,24-12-2007,19,32,87,0,0,87,Karve Road
